age_yrBP,co2_1k,co2_10k
1000.0,277.8816039033423,274.9474469022344
2000.0,277.99658302189,273.5714925073282
3000.0,275.49274563241744,271.329936703306
4000.0,274.18885757961164,269.9879031087681
5000.0,269.17744437391053,268.9098209117832
6000.0,266.69172053279715,268.4377971341837
7000.0,257.88060187917273,267.31531807278174
8000.0,260.59366794700276,264.77627832697823
9000.0,260.2851633359041,261.1569839381716
10000.0,264.1895831357886,257.3435644865318
11000.0,266.6568132893226,253.22848564369798
12000.0,252.60618556385495,248.98699104879566
13000.0,239.29980174435107,243.61943419299664
14000.0,236.0546630632137,236.4268964704579
15000.0,228.02665594557212,229.66305251772792
16000.0,224.27677458377363,222.6487382787484
17000.0,204.2050333211829,214.98506142494406
18000.0,188.66829072161528,208.5957554855545
19000.0,192.6467238086046,203.6398345992289
20000.0,194.0464407459931,198.44342865147408
21000.0,190.02004475127907,193.7061002071601
22000.0,188.71312616995948,189.7443110313086
23000.0,189.74059288109473,188.0964877565031
24000.0,184.0906035856659,188.17282350639104
25000.0,180.65337150243224,188.2011099055701
26000.0,184.65888282525873,187.94996035847288
27000.0,187.72680057312812,187.82238742750417
28000.0,189.43164822049445,188.25997290514334
29000.0,192.92958780039504,188.92116297618935
30000.0,191.534945275021,190.05928382191865
31000.0,188.744315441592,192.04551594278948
32000.0,193.08898094635094,193.65875576818894
33000.0,196.35249359155503,195.4421983433253
34000.0,195.471812042959,197.62122874797848
35000.0,200.51569271114053,198.62130308461053
36000.0,200.7912810792531,198.8762190993443
37000.0,205.5612263244918,200.11852229689958
38000.0,211.2219522670263,200.82273633592658
39000.0,202.93033116671558,201.59633072646412
40000.0,194.08410542235882,202.3927153621849
41000.0,201.16734741714455,203.4805431574383
42000.0,200.13112133662133,205.60870445582046
43000.0,204.08843749693025,206.10438753142057
44000.0,203.4356584001668,205.55867386383792
45000.0,211.39397066367448,205.41792571415408
46000.0,222.07289406307476,206.44600843240474
47000.0,210.5180570804928,207.09160081629716
48000.0,205.76481559120003,208.49585027070816
49000.0,201.5228496698768,210.36828077257346
50000.0,204.36493260486546,212.0962810208326
51000.0,207.6232712560688,212.6292185998239
52000.0,214.17361588073123,211.37759814891214
53000.0,222.81274251558358,211.7982332246574
54000.0,220.71566088275804,213.62016932691805
55000.0,216.7233464535875,216.46984457596926
56000.0,209.55668955395743,217.89775446648724
57000.0,214.72440783794514,218.0766200094236
58000.0,223.9841766138064,217.23871560122984
59000.0,230.019602160389,214.95421296584527
60000.0,218.64403151004527,212.72505914389498
61000.0,209.41192668543232,211.03493520489351
62000.0,205.79457179879395,210.18581725035773
63000.0,199.96771616173785,209.36506171278978
64000.0,198.42412266325496,207.1096339171696
65000.0,199.82210706357267,204.61447065715262
66000.0,201.06551000859977,204.25648759426673
67000.0,206.51685246226575,206.03238550795714
68000.0,201.42989865760413,209.35454924854383
69000.0,205.06796956021944,212.53650664660344
70000.0,215.06420088118628,215.89344376867786
71000.0,227.17090582233664,220.2128024407792
72000.0,239.01620920466112,224.70133153226234
73000.0,231.78729014233397,227.317368547061
74000.0,231.99349388399878,229.80905530571172
75000.0,243.01569378458606,232.04570834243736
76000.0,245.95080092343142,233.90168439689052
77000.0,232.67722261025233,234.37082670552104
78000.0,226.34676624411085,234.26657403832328
79000.0,227.43449992747603,235.72170525579628
80000.0,233.62396142571797,237.49289042340592
81000.0,231.86232890864167,236.9787685979897
82000.0,237.97368253268365,235.1631111475368
83000.0,246.3386023170637,234.0130723786725
84000.0,249.7053455600953,233.30151248330594
85000.0,237.8744755304242,233.1433554530767
86000.0,227.79422641890218,232.71080842194925
87000.0,221.17683492160936,232.66854500011453
88000.0,219.23116729044494,232.23635835330037
89000.0,225.8529296251841,230.9667531654227
90000.0,229.29849111444324,229.91653073225476
91000.0,231.43969469029471,230.4026344465542
92000.0,233.6518160645421,232.23673280038875
93000.0,233.64255043828666,234.47052445997855
94000.0,239.20312122841605,236.56996859122077
95000.0,242.73551267341895,238.29248497833206
96000.0,246.13520995724758,239.89687975933793
97000.0,243.51475151750722,241.35857793941176
98000.0,240.2256086028673,241.98991841091507
99000.0,243.07809349629665,242.4891307896957
100000.0,245.34243892450223,243.14390213715245
101000.0,246.05667649103296,243.14619162707385
102000.0,239.9652207795748,244.22918567467119
103000.0,238.63467422609378,243.90481110898241
104000.0,245.75083470298313,243.63536688775793
105000.0,242.75840757263262,243.62906589791132
106000.0,256.9651504332212,243.56508801698266
107000.0,240.27100586061917,244.0066234251586
108000.0,237.531166390623,245.78460335074524
109000.0,243.0150835978307,248.2866355611728
110000.0,244.7026601152152,250.18126569469308
111000.0,250.47203057279268,253.46769456809776
112000.0,257.7450200354412,255.09475790113183
113000.0,263.65499633036916,258.4602032255324
114000.0,264.6971360381862,262.3054752237022
115000.0,275.6226963066791,265.1922278895362
116000.0,273.2357837635616,267.79200072703725
117000.0,273.92545910462536,270.56447782760307
118000.0,275.98388637232057,272.551416690007
119000.0,271.8826102561708,274.1016076396473
120000.0,270.7003884902259,275.27051319693453
121000.0,278.1968015784507,275.3098004156821
122000.0,277.614408659481,275.50437666229766
123000.0,279.15690582677166,275.61400478322355
124000.0,276.38619161105817,275.6226099728431
125000.0,276.0155684941553,275.3813382219034
126000.0,275.18154622971764,273.95132159134835
127000.0,275.0217403138836,270.86558946857957
128000.0,276.0699382685168,266.31828854480415
129000.0,269.46989274677327,260.8503582379197
130000.0,256.4002221846752,255.17609085649693
131000.0,247.33948035076307,248.6143594826271
132000.0,232.1413994217266,241.7107309779626
133000.0,224.47760275792726,234.41717187194735
134000.0,219.64351779683045,226.7142601701254
135000.0,210.398254755457,219.53612757113228
136000.0,206.14526118307285,213.17890899301264
137000.0,202.0861492537313,207.88374287295437
138000.0,199.0408212502971,204.2643631204698
139000.0,197.68856675684202,201.37248507978987
140000.0,192.82803640347893,198.9105579232622
141000.0,194.38781915017992,197.43551905406667
142000.0,195.94760189688088,196.20009238849286
143000.0,195.55882235112819,195.44363005125598
144000.0,195.0242462315536,195.09616019857089
145000.0,195.6478660635018,195.27954433448124
146000.0,193.79099452733487,196.20926715969966
147000.0,194.52152588136255,197.0138592758414
148000.0,195.5661227234462,197.56903312791778
149000.0,199.52240811594538,198.00985309678893
150000.0,202.12526465566305,198.33528361876307
151000.0,202.43374031159755,198.34637807380597
152000.0,201.49934041764485,198.05504200070388
153000.0,199.9670220398395,197.5297241395531
154000.0,198.278551451295,196.88383931509105
155000.0,195.75881061393056,195.72026517016315
156000.0,190.87763379631423,194.1871236704283
157000.0,189.26834726985473,193.07711447858804
158000.0,189.10727447882547,192.51423147652108
159000.0,187.88666666666666,192.55826651261276
160000.0,186.79384965831443,192.92803960623286
161000.0,191.3336483931948,192.82187181937186
162000.0,195.8705103969755,192.9328564697125
163000.0,200.40737240075617,192.95103634320486
164000.0,201.97628238749618,192.68034618182702
165000.0,194.69713274532035,192.69534969333694
166000.0,191.98748029972074,193.6999983825414
167000.0,189.45014600477842,194.3001598980846
168000.0,186.4003728650469,194.49286515083608
169000.0,188.03670178176603,194.22788899745643
170000.0,196.8403365503588,193.80202663964968
171000.0,197.33526354862659,194.034134977221
172000.0,197.79756292449062,194.34222703943743
173000.0,197.75761086695965,194.4077829863767
174000.0,197.71765880942868,194.99984973532804
175000.0,197.01821612103353,196.24937059983864
176000.0,195.068400921885,197.384217280702
177000.0,190.10570547417117,198.85445579637815
178000.0,192.3210403545603,200.7460417858083
179000.0,200.53191042687192,201.25643889120266
180000.0,208.1888033589923,201.40133967692645
181000.0,212.03764870538836,201.78360139815646
182000.0,216.71342281879194,202.54221718832088
183000.0,202.86158192090355,204.08387270210812
184000.0,199.16666666666666,205.76431062124243
185000.0,200.84083333333334,207.62798339746723
186000.0,202.6545588235294,209.94043938753484
187000.0,205.52226061204342,211.87491692031094
188000.0,209.12541954590324,212.2261335685711
189000.0,219.16863818912012,213.75540640514095
190000.0,231.3133632596685,216.0221096215152
191000.0,231.3824240331492,218.535626190716
192000.0,220.22558930139365,220.3419436674256
193000.0,218.15431028660197,222.21946283093249
194000.0,221.8336988304093,224.77210936438428
195000.0,225.97599902534103,227.1335326812221
196000.0,220.71773359062558,228.57543729342154
197000.0,224.29745224711237,230.30538963068943
198000.0,234.6518848804211,233.07797931515967
199000.0,242.7828713574982,235.3704298354744
200000.0,245.7324093816631,237.9099183021424
201000.0,248.681947405828,239.80010301329767
202000.0,247.95148614609573,240.90029180754786
203000.0,241.07881548974942,241.1936503825164
204000.0,247.22858349708912,241.38846909782487
205000.0,244.87784613689377,240.82887118470012
206000.0,231.71962153312793,240.70427577347263
207000.0,227.2310379967974,240.91212696928557
208000.0,236.60007203350588,240.1833092324784
209000.0,237.18689222625102,240.9955161097052
210000.0,244.48645526938802,241.2431372037836
211000.0,250.76045936395747,240.98118304451881
212000.0,240.66330877802392,241.89041766122205
213000.0,249.20088426201764,244.02030603471317
214000.0,249.7047944378727,245.12052727005184
215000.0,242.2583045442463,245.48927419333944
216000.0,240.81196770016012,243.77290402895218
217000.0,248.52992173170887,240.12376048083757
218000.0,247.60228438689262,237.34409371660632
219000.0,240.8743614591265,233.26679165419515
220000.0,227.32275362551613,228.93235937138365
221000.0,214.26902388281076,225.1822598606703
222000.0,212.86664113571177,221.46111848918173
223000.0,208.42786363790592,218.51982615741562
224000.0,206.36047160975787,217.27067508445526
225000.0,204.75730943711278,216.24432600712802
226000.0,203.60055398527405,216.1791032859544
227000.0,219.11699841404777,217.9264392043152
228000.0,235.11077365728903,220.00269173779566
229000.0,230.61087068585402,223.33643545013442
230000.0,226.6705264137799,226.99175841064985
231000.0,231.74238306641882,230.92223763379155
232000.0,233.62916647051628,235.09668309703594
233000.0,241.7653007612938,237.49049896686614
234000.0,242.91370121491198,238.21672510918356
235000.0,244.06210166853015,239.706427593285
236000.0,245.34500861771787,242.09179921110277
237000.0,243.05515711235,244.68645381411184
238000.0,242.37303508046307,247.91877992059617
239000.0,245.5078955268687,251.72556066422575
240000.0,250.524242591957,254.00852644070505
241000.0,257.68892909650987,254.621141048698
242000.0,265.95242753535933,253.31701854194625
243000.0,279.8331081975897,250.9241984171622
244000.0,265.74335897970514,248.38877002265616
245000.0,250.18824774845967,245.32903511059894
246000.0,232.30378355019965,241.17683370904496
247000.0,219.12695586450982,235.67516937581178
248000.0,217.0187511354029,230.22563241381795
249000.0,214.91054640629602,221.7898143707851
250000.0,209.00222857641796,214.84738761572333
251000.0,202.67228576417713,209.4554091297784
252000.0,211.4570579154217,206.06221210986013
253000.0,195.47492776726105,204.3164569703035
254000.0,196.3190914290876,203.0139643584592
255000.0,196.26846288901018,201.91557553595524
256000.0,198.37181335101707,201.63493894600725
257000.0,201.66940446894364,202.2245118107425
258000.0,203.99382501695962,201.94584685900287
259000.0,203.92665818125644,203.99812124243437
260000.0,206.195862676938,206.73013092397727
261000.0,208.56801441152967,209.15633334242602
262000.0,208.67040839802522,209.55365542193346
263000.0,215.99767160157631,210.54724846882164
264000.0,223.63918824451665,209.49195836977032
265000.0,220.53048707349754,207.8226259908015
266000.0,202.34503414609108,206.64803486260195
267000.0,211.6053349378259,205.65610323747993
268000.0,193.44092402644668,203.44853029697748
269000.0,187.23333439156798,200.79574598451563
270000.0,194.4499513949422,197.76429994980995
271000.0,198.6486981603096,195.1181290691441
272000.0,186.59467899300114,194.6231638113323
273000.0,189.46982847695764,192.9769801996456
274000.0,193.3247278974598,193.38959640964737
275000.0,194.06877826683893,194.97777954410893
276000.0,197.395381567973,196.24623735996656
277000.0,195.14349882095914,197.70666304518883
278000.0,197.56708612646435,200.9994393265707
279000.0,203.11516573618357,204.59044718356984
280000.0,207.13452955351826,208.20860714782944
281000.0,213.25295501253265,211.80707970600764
282000.0,219.5224418068196,214.8513490451397
283000.0,225.37990704694897,218.21086573057846
284000.0,229.50632754005602,221.51730801581462
285000.0,230.05350384862103,224.4524106484974
286000.0,227.83807495929344,227.19104823224433
287000.0,228.7386656753465,227.84145493960813
288000.0,230.631508978826,227.26843151021663
289000.0,232.46619206301116,225.45551846970972
290000.0,234.52090539098825,223.13527313724407
291000.0,219.7570220861706,221.15949301868267
292000.0,213.79220751290424,219.66304883387414
293000.0,207.2507766418799,218.13567646865854
294000.0,206.30387421539987,216.6322678072147
295000.0,210.2957026630067,215.41668818165695
296000.0,212.8736331112082,214.96120060232602
297000.0,213.46494202319062,216.58113878942203
298000.0,215.59742236438746,219.07885391891472
299000.0,220.31039580743334,221.98750339441335
300000.0,229.96602959767938,225.334080599442
301000.0,235.9564039571308,228.36951428753068
302000.0,238.7693588078311,232.05794481549378
303000.0,236.33727139686587,235.39100930500723
304000.0,239.76964626568636,237.12880520187724
305000.0,240.65003954389368,237.8005855805157
306000.0,249.7579383908391,237.4269728548067
307000.0,246.7955869183248,237.26654794137684
308000.0,232.97538133308754,237.2124935697907
309000.0,227.02819959381802,237.6360374536536
310000.0,226.22990234059031,238.7481080664232
311000.0,234.35215482283158,240.3610811729308
312000.0,238.2288150919694,240.6505604977831
313000.0,240.57271023549555,242.6779522457703
314000.0,250.890352393382,244.4934914452152
315000.0,256.77977060896984,246.13265067862002
316000.0,252.65273163936223,247.20078805861286
317000.0,267.0695043981965,249.28429382012905
318000.0,251.13077332753682,250.47467752582446
319000.0,243.41979192786607,251.94156002421119
320000.0,236.91127614051857,252.82435882650293
321000.0,255.1872124379937,253.17646986897427
322000.0,250.13265214892363,254.0925484997496
323000.0,255.24153521936245,253.89910414756582
324000.0,259.7183404162998,255.3680225135717
325000.0,260.30088103368274,258.1001652090904
326000.0,261.81351794711543,261.892334832279
327000.0,265.1350608763592,263.1126714207279
328000.0,265.8199569875954,265.1558851345476
329000.0,270.741218883053,266.9060857546274
330000.0,274.832972372405,269.17890634162717
331000.0,267.3905783224822,272.82194975217305
332000.0,270.5647892871205,274.78672813073734
333000.0,272.7435414201605,275.9682134895066
334000.0,282.4465462862978,275.40967128729574
335000.0,296.7313151391418,272.52356447272183
336000.0,281.46130173275793,268.9886864103905
337000.0,276.9499144640514,265.87445566131345
338000.0,260.2345349654877,263.2159696136408
339000.0,241.88015073731316,260.0420122384809
340000.0,239.48419174909196,251.8992780286895
341000.0,236.24827083171186,242.74579144893727
342000.0,243.97992881039397,235.08938526443467
343000.0,241.0039676685612,228.26834548891762
344000.0,201.01920418838412,223.6747267767229
345000.0,205.19644934161934,221.44343009624745
346000.0,204.89723988773196,219.55215563650341
347000.0,208.73951670888118,218.0160033442484
348000.0,214.29834784354014,215.62215967061766
349000.0,219.56718393255846,213.19886388824344
350000.0,220.57144715165177,214.26370989005142
351000.0,220.8867479091618,214.67570750871747
352000.0,220.04149207408665,215.01351604035852
353000.0,216.7710098448189,214.45967506260234
354000.0,211.66766420646357,212.84252914409794
355000.0,209.31642552827992,210.19107778940935
356000.0,208.2753252041429,207.02589356329085
357000.0,203.20110693131943,203.54218373606435
358000.0,198.12688865849597,200.12707389672806
359000.0,193.0526703856725,197.2838768178676
360000.0,188.919604890467,195.5382111243539
361000.0,186.04964963689645,194.61486612016972
362000.0,185.89039368072366,194.0509462882767
363000.0,188.33903905621455,194.171798257759
364000.0,194.21100727132642,194.97742202861667
365000.0,200.08297548643833,196.17835748585514
366000.0,202.63612688521263,197.66006817456005
367000.0,204.40962662614265,199.29624307056795
368000.0,206.18312636707267,200.8379174486371
369000.0,205.06202495805692,202.03819031187476
370000.0,203.73671177751618,203.0665839707844
371000.0,202.4113985969754,204.35495465340767
372000.0,201.30713746141546,205.99157449761364
373000.0,200.3417676885911,207.99174521349877
374000.0,204.49494386042247,210.11311913495905
375000.0,212.9666823126711,212.551972036283
376000.0,219.00232532727247,215.06102474552435
377000.0,224.411333784994,217.6402772626831
378000.0,227.39686558167537,220.26762438326122
379000.0,229.4505539712964,222.98822725227765
380000.0,228.82723886992974,226.09304016776795
381000.0,228.2039237685631,228.77329903054496
382000.0,227.58060866719646,230.79785791165045
383000.0,227.5477963787552,232.62461273674518
384000.0,235.5430730153259,234.55387621610785
385000.0,239.76927094044083,236.21469489412692
386000.0,239.24791413832762,238.16412133846347
387000.0,242.67888203594111,240.60340128164384
388000.0,246.68950037530206,243.53253472366805
389000.0,246.0587407514871,246.7591385512754
390000.0,248.32150331329504,250.55976161301095
391000.0,252.59672320036694,252.69631276732215
392000.0,256.87194308743886,255.34804168398705
393000.0,259.81383465482844,258.1197158930329
394000.0,273.54930363268164,260.95337035028496
395000.0,261.1347824835531,264.01261955858354
396000.0,265.7652033049763,266.94792421268085
397000.0,270.39562412639947,270.00622569043907
398000.0,275.0260449478226,272.6300162305009
399000.0,276.65123283447315,274.2263475189387
400000.0,277.6745498542683,274.50417296104206
401000.0,283.17973797794883,276.40726216658516
402000.0,283.10984848805737,277.82374615991614
403000.0,275.7771475392063,279.1150383150763
