amp_sigma,min_persistence_yr,f1_100,f1_200,f1_300,median_abs_age_error_yr_100,median_abs_age_error_yr_200,median_abs_age_error_yr_300,n_detected_100,n_detected_200,n_detected_300,precision_100,precision_200,precision_300,recall_100,recall_200,recall_300,score_primary
0.0,0.0,0.16129032258064513,0.22043010752688175,0.29032258064516125,49.0,80.0,100.0,304.0,304.0,304.0,0.09868421052631579,0.13486842105263158,0.17763157894736842,0.4411764705882353,0.6029411764705882,0.7941176470588235,0.4691397849462365
0.0,80.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,90.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,100.0,0.20754716981132076,0.2830188679245283,0.38679245283018865,59.0,80.0,110.0,144.0,144.0,144.0,0.1527777777777778,0.20833333333333334,0.2847222222222222,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6239245283018867
0.0,110.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,120.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,130.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,140.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,150.0,0.25,0.32142857142857145,0.42857142857142855,49.0,70.0,94.0,100.0,100.0,100.0,0.21,0.27,0.36,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7159714285714286
0.0,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.0,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.0,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.0,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.1,0.0,0.1875,0.24305555555555558,0.32638888888888884,49.0,80.0,99.0,220.0,220.0,220.0,0.12272727272727273,0.1590909090909091,0.21363636363636362,0.39705882352941174,0.5147058823529411,0.6911764705882353,0.5319277777777778
0.1,80.0,0.2156862745098039,0.29411764705882354,0.4019607843137255,59.0,80.0,110.0,136.0,136.0,136.0,0.16176470588235295,0.22058823529411764,0.3014705882352941,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6501176470588236
0.1,90.0,0.2156862745098039,0.29411764705882354,0.4019607843137255,59.0,80.0,110.0,136.0,136.0,136.0,0.16176470588235295,0.22058823529411764,0.3014705882352941,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6501176470588236
0.1,100.0,0.2156862745098039,0.29411764705882354,0.4019607843137255,59.0,80.0,110.0,136.0,136.0,136.0,0.16176470588235295,0.22058823529411764,0.3014705882352941,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6501176470588236
0.1,110.0,0.25301204819277107,0.3253012048192771,0.4337349397590361,49.0,70.0,94.0,98.0,98.0,98.0,0.21428571428571427,0.2755102040816326,0.3673469387755102,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7250506024096385
0.1,120.0,0.25301204819277107,0.3253012048192771,0.4337349397590361,49.0,70.0,94.0,98.0,98.0,98.0,0.21428571428571427,0.2755102040816326,0.3673469387755102,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7250506024096385
0.1,130.0,0.25301204819277107,0.3253012048192771,0.4337349397590361,49.0,70.0,94.0,98.0,98.0,98.0,0.21428571428571427,0.2755102040816326,0.3673469387755102,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7250506024096385
0.1,140.0,0.25301204819277107,0.3253012048192771,0.4337349397590361,49.0,70.0,94.0,98.0,98.0,98.0,0.21428571428571427,0.2755102040816326,0.3673469387755102,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7250506024096385
0.1,150.0,0.25301204819277107,0.3253012048192771,0.4337349397590361,49.0,70.0,94.0,98.0,98.0,98.0,0.21428571428571427,0.2755102040816326,0.3673469387755102,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7250506024096385
0.1,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.1,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.1,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.1,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.2,0.0,0.20800000000000002,0.28,0.368,49.0,80.0,99.0,182.0,182.0,182.0,0.14285714285714285,0.19230769230769232,0.25274725274725274,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6076000000000001
0.2,80.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.2,90.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.2,100.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.2,110.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.2,120.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.2,130.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.2,140.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.2,150.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.2,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.2,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.2,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.2,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.21,0.0,0.20800000000000002,0.28,0.368,49.0,80.0,99.0,182.0,182.0,182.0,0.14285714285714285,0.19230769230769232,0.25274725274725274,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6076000000000001
0.21,80.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.21,90.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.21,100.0,0.2268041237113402,0.3092783505154639,0.422680412371134,59.0,80.0,110.0,126.0,126.0,126.0,0.1746031746031746,0.23809523809523808,0.3253968253968254,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.6858969072164948
0.21,110.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.21,120.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.21,130.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.21,140.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.21,150.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.21,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.21,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.21,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.21,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.22,0.0,0.21311475409836067,0.28688524590163933,0.3770491803278689,49.0,80.0,99.0,176.0,176.0,176.0,0.14772727272727273,0.19886363636363635,0.26136363636363635,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6235147540983608
0.22,80.0,0.23157894736842105,0.3157894736842105,0.43157894736842106,59.0,80.0,110.0,122.0,122.0,122.0,0.18032786885245902,0.2459016393442623,0.3360655737704918,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.7012631578947368
0.22,90.0,0.23157894736842105,0.3157894736842105,0.43157894736842106,59.0,80.0,110.0,122.0,122.0,122.0,0.18032786885245902,0.2459016393442623,0.3360655737704918,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.7012631578947368
0.22,100.0,0.23157894736842105,0.3157894736842105,0.43157894736842106,59.0,80.0,110.0,122.0,122.0,122.0,0.18032786885245902,0.2459016393442623,0.3360655737704918,0.3235294117647059,0.4411764705882353,0.6029411764705882,0.7012631578947368
0.22,110.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.22,120.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.22,130.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.22,140.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.22,150.0,0.25609756097560976,0.32926829268292684,0.4390243902439025,49.0,70.0,94.0,96.0,96.0,96.0,0.21875,0.28125,0.375,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7343512195121952
0.22,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.22,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.22,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.22,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.23,0.0,0.22033898305084745,0.2966101694915254,0.38983050847457634,49.0,80.0,99.0,168.0,168.0,168.0,0.15476190476190477,0.20833333333333334,0.27380952380952384,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6459932203389832
0.23,80.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.23,90.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.23,100.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.23,110.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.23,120.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.23,130.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.23,140.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.23,150.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.23,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.23,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.23,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.23,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.24,0.0,0.2260869565217391,0.3043478260869565,0.4,49.0,80.0,99.0,162.0,162.0,162.0,0.16049382716049382,0.21604938271604937,0.2839506172839506,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6638782608695653
0.24,80.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.24,90.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.24,100.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.24,110.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.24,120.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.24,130.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.24,140.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.24,150.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
0.24,200.0,0.24657534246575344,0.28767123287671237,0.4246575342465754,59.0,70.0,97.0,78.0,78.0,78.0,0.23076923076923078,0.2692307692307692,0.3974358974358974,0.2647058823529412,0.3088235294117647,0.45588235294117646,0.6858575342465754
0.24,300.0,0.21874999999999997,0.25,0.37500000000000006,69.5,75.0,94.0,60.0,60.0,60.0,0.23333333333333334,0.26666666666666666,0.4,0.20588235294117646,0.23529411764705882,0.35294117647058826,0.5999000000000001
0.24,400.0,0.1864406779661017,0.23728813559322035,0.3559322033898305,70.0,80.0,97.0,50.0,50.0,50.0,0.22,0.28,0.42,0.16176470588235295,0.20588235294117646,0.3088235294117647,0.5578101694915254
0.24,500.0,0.19999999999999998,0.2545454545454545,0.3636363636363637,69.0,75.0,94.0,42.0,42.0,42.0,0.2619047619047619,0.3333333333333333,0.47619047619047616,0.16176470588235295,0.20588235294117646,0.29411764705882354,0.5842181818181819
0.25,0.0,0.2260869565217391,0.3043478260869565,0.4,49.0,80.0,99.0,162.0,162.0,162.0,0.16049382716049382,0.21604938271604937,0.2839506172839506,0.38235294117647056,0.5147058823529411,0.6764705882352942,0.6638782608695653
0.25,80.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.25,90.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.25,100.0,0.23655913978494625,0.3225806451612903,0.43010752688172044,59.0,80.0,99.0,118.0,118.0,118.0,0.1864406779661017,0.2542372881355932,0.3389830508474576,0.3235294117647059,0.4411764705882353,0.5882352941176471,0.7109376344086021
0.25,110.0,0.2592592592592593,0.3333333333333333,0.4444444444444445,49.0,70.0,94.0,94.0,94.0,94.0,0.22340425531914893,0.2872340425531915,0.3829787234042553,0.3088235294117647,0.39705882352941174,0.5294117647058824,0.7438814814814816
