amp_sigma,min_persistence_yr,f1_100,f1_200,f1_300,median_abs_age_error_yr_100,median_abs_age_error_yr_200,median_abs_age_error_yr_300,n_detected_100,n_detected_200,n_detected_300,precision_100,precision_200,precision_300,recall_100,recall_200,recall_300,n_detected,score_primary
0.0,0,0.17511520737327188,0.33179723502304154,0.4055299539170507,40.0,100.0,144.5,149.0,149.0,149.0,0.12751677852348994,0.24161073825503357,0.2953020134228188,0.27941176470588236,0.5294117647058824,0.6470588235294118,149.0,0.6500341013824885
0.0,80,0.19428571428571426,0.37714285714285717,0.45714285714285713,40.0,101.0,129.5,107.0,107.0,107.0,0.1588785046728972,0.308411214953271,0.37383177570093457,0.25,0.4852941176470588,0.5882352941176471,107.0,0.7470571428571429
0.0,90,0.19428571428571426,0.37714285714285717,0.45714285714285713,40.0,101.0,129.5,107.0,107.0,107.0,0.1588785046728972,0.308411214953271,0.37383177570093457,0.25,0.4852941176470588,0.5882352941176471,107.0,0.7470571428571429
0.0,100,0.19428571428571426,0.37714285714285717,0.45714285714285713,40.0,101.0,129.5,107.0,107.0,107.0,0.1588785046728972,0.308411214953271,0.37383177570093457,0.25,0.4852941176470588,0.5882352941176471,107.0,0.7470571428571429
0.0,110,0.17834394904458598,0.3439490445859873,0.4585987261146497,40.0,99.0,150.5,89.0,89.0,89.0,0.15730337078651685,0.30337078651685395,0.4044943820224719,0.20588235294117646,0.39705882352941174,0.5294117647058824,89.0,0.7105006369426752
0.0,120,0.17834394904458598,0.3439490445859873,0.4585987261146497,40.0,99.0,150.5,89.0,89.0,89.0,0.15730337078651685,0.30337078651685395,0.4044943820224719,0.20588235294117646,0.39705882352941174,0.5294117647058824,89.0,0.7105006369426752
0.0,130,0.17834394904458598,0.3439490445859873,0.4585987261146497,40.0,99.0,150.5,89.0,89.0,89.0,0.15730337078651685,0.30337078651685395,0.4044943820224719,0.20588235294117646,0.39705882352941174,0.5294117647058824,89.0,0.7105006369426752
0.0,140,0.17834394904458598,0.3439490445859873,0.4585987261146497,40.0,99.0,150.5,89.0,89.0,89.0,0.15730337078651685,0.30337078651685395,0.4044943820224719,0.20588235294117646,0.39705882352941174,0.5294117647058824,89.0,0.7105006369426752
0.0,150,0.17834394904458598,0.3439490445859873,0.4585987261146497,40.0,99.0,150.5,89.0,89.0,89.0,0.15730337078651685,0.30337078651685395,0.4044943820224719,0.20588235294117646,0.39705882352941174,0.5294117647058824,89.0,0.7105006369426752
0.0,200,0.15827338129496402,0.31654676258992803,0.43165467625899284,40.0,103.0,155.5,71.0,71.0,71.0,0.15492957746478872,0.30985915492957744,0.4225352112676056,0.16176470588235295,0.3235294117647059,0.4411764705882353,71.0,0.6543467625899281
0.0,300,0.14173228346456693,0.33070866141732286,0.42519685039370075,50.0,119.0,151.0,59.0,59.0,59.0,0.15254237288135594,0.3559322033898305,0.4576271186440678,0.1323529411764706,0.3088235294117647,0.39705882352941174,59.0,0.6529858267716535
0.0,400,0.1322314049586777,0.2975206611570248,0.3966942148760331,46.0,124.0,155.5,53.0,53.0,53.0,0.1509433962264151,0.33962264150943394,0.4528301886792453,0.11764705882352941,0.2647058823529412,0.35294117647058826,53.0,0.5956512396694215
0.0,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.1,0,0.17341040462427745,0.3930635838150289,0.47398843930635837,40.0,110.5,150.0,105.0,105.0,105.0,0.14285714285714285,0.3238095238095238,0.3904761904761905,0.22058823529411764,0.5,0.6029411764705882,105.0,0.7584971098265895
0.1,80,0.18404907975460122,0.3926380368098159,0.4785276073619632,40.0,109.5,139.0,95.0,95.0,95.0,0.15789473684210525,0.3368421052631579,0.4105263157894737,0.22058823529411764,0.47058823529411764,0.5735294117647058,95.0,0.7713938650306749
0.1,90,0.18404907975460122,0.3926380368098159,0.4785276073619632,40.0,109.5,139.0,95.0,95.0,95.0,0.15789473684210525,0.3368421052631579,0.4105263157894737,0.22058823529411764,0.47058823529411764,0.5735294117647058,95.0,0.7713938650306749
0.1,100,0.18404907975460122,0.3926380368098159,0.4785276073619632,40.0,109.5,139.0,95.0,95.0,95.0,0.15789473684210525,0.3368421052631579,0.4105263157894737,0.22058823529411764,0.47058823529411764,0.5735294117647058,95.0,0.7713938650306749
0.1,110,0.17687074829931973,0.3673469387755102,0.4761904761904762,40.0,109.0,150.0,79.0,79.0,79.0,0.16455696202531644,0.34177215189873417,0.4430379746835443,0.19117647058823528,0.39705882352941174,0.5147058823529411,79.0,0.7440816326530613
0.1,120,0.17687074829931973,0.3673469387755102,0.4761904761904762,40.0,109.0,150.0,79.0,79.0,79.0,0.16455696202531644,0.34177215189873417,0.4430379746835443,0.19117647058823528,0.39705882352941174,0.5147058823529411,79.0,0.7440816326530613
0.1,130,0.17687074829931973,0.3673469387755102,0.4761904761904762,40.0,109.0,150.0,79.0,79.0,79.0,0.16455696202531644,0.34177215189873417,0.4430379746835443,0.19117647058823528,0.39705882352941174,0.5147058823529411,79.0,0.7440816326530613
0.1,140,0.17687074829931973,0.3673469387755102,0.4761904761904762,40.0,109.0,150.0,79.0,79.0,79.0,0.16455696202531644,0.34177215189873417,0.4430379746835443,0.19117647058823528,0.39705882352941174,0.5147058823529411,79.0,0.7440816326530613
0.1,150,0.17687074829931973,0.3673469387755102,0.4761904761904762,40.0,109.0,150.0,79.0,79.0,79.0,0.16455696202531644,0.34177215189873417,0.4430379746835443,0.19117647058823528,0.39705882352941174,0.5147058823529411,79.0,0.7440816326530613
0.1,200,0.16541353383458646,0.3458646616541354,0.45112781954887216,40.0,109.0,150.5,65.0,65.0,65.0,0.16923076923076924,0.35384615384615387,0.46153846153846156,0.16176470588235295,0.3382352941176471,0.4411764705882353,65.0,0.6991984962406014
0.1,300,0.144,0.33599999999999997,0.432,50.0,119.0,151.0,57.0,57.0,57.0,0.15789473684210525,0.3684210526315789,0.47368421052631576,0.1323529411764706,0.3088235294117647,0.39705882352941174,57.0,0.6644
0.1,400,0.1322314049586777,0.2975206611570248,0.3966942148760331,46.0,124.0,155.5,53.0,53.0,53.0,0.1509433962264151,0.33962264150943394,0.4528301886792453,0.11764705882352941,0.2647058823529412,0.35294117647058826,53.0,0.5956512396694215
0.1,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.2,0,0.19354838709677422,0.39999999999999997,0.4903225806451613,40.0,109.0,129.5,87.0,87.0,87.0,0.1724137931034483,0.3563218390804598,0.4367816091954023,0.22058823529411764,0.45588235294117646,0.5588235294117647,87.0,0.7959419354838709
0.2,80,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.2,90,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.2,100,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.2,110,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.2,120,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.2,130,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.2,140,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.2,150,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.2,200,0.17054263565891475,0.3565891472868217,0.46511627906976744,40.0,109.0,150.5,61.0,61.0,61.0,0.18032786885245902,0.3770491803278688,0.4918032786885246,0.16176470588235295,0.3382352941176471,0.4411764705882353,61.0,0.7227457364341084
0.2,300,0.1463414634146341,0.34146341463414637,0.43902439024390244,50.0,119.0,151.0,55.0,55.0,55.0,0.16363636363636364,0.38181818181818183,0.4909090909090909,0.1323529411764706,0.3088235294117647,0.39705882352941174,55.0,0.6761853658536584
0.2,400,0.13445378151260504,0.3025210084033613,0.4033613445378152,46.0,124.0,155.5,51.0,51.0,51.0,0.1568627450980392,0.35294117647058826,0.47058823529411764,0.11764705882352941,0.2647058823529412,0.35294117647058826,51.0,0.6067075630252101
0.2,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.21,0,0.19354838709677422,0.39999999999999997,0.4903225806451613,40.0,109.0,129.5,87.0,87.0,87.0,0.1724137931034483,0.3563218390804598,0.4367816091954023,0.22058823529411764,0.45588235294117646,0.5588235294117647,87.0,0.7959419354838709
0.21,80,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.21,90,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.21,100,0.1986754966887417,0.4105960264900662,0.5033112582781457,40.0,109.0,129.5,83.0,83.0,83.0,0.18072289156626506,0.37349397590361444,0.4578313253012048,0.22058823529411764,0.45588235294117646,0.5588235294117647,83.0,0.8183986754966887
0.21,110,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.21,120,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.21,130,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.21,140,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.21,150,0.18705035971223022,0.37410071942446044,0.48920863309352514,40.0,104.0,144.5,71.0,71.0,71.0,0.18309859154929578,0.36619718309859156,0.4788732394366197,0.19117647058823528,0.38235294117647056,0.5,71.0,0.7680992805755396
0.21,200,0.17054263565891475,0.3565891472868217,0.46511627906976744,40.0,109.0,150.5,61.0,61.0,61.0,0.18032786885245902,0.3770491803278688,0.4918032786885246,0.16176470588235295,0.3382352941176471,0.4411764705882353,61.0,0.7227457364341084
0.21,300,0.1463414634146341,0.34146341463414637,0.43902439024390244,50.0,119.0,151.0,55.0,55.0,55.0,0.16363636363636364,0.38181818181818183,0.4909090909090909,0.1323529411764706,0.3088235294117647,0.39705882352941174,55.0,0.6761853658536584
0.21,400,0.13445378151260504,0.3025210084033613,0.4033613445378152,46.0,124.0,155.5,51.0,51.0,51.0,0.1568627450980392,0.35294117647058826,0.47058823529411764,0.11764705882352941,0.2647058823529412,0.35294117647058826,51.0,0.6067075630252101
0.21,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.22,0,0.196078431372549,0.40522875816993464,0.4967320261437909,40.0,109.0,129.5,85.0,85.0,85.0,0.17647058823529413,0.36470588235294116,0.4470588235294118,0.22058823529411764,0.45588235294117646,0.5588235294117647,85.0,0.8070235294117648
0.22,80,0.20134228187919462,0.4161073825503355,0.5100671140939597,40.0,109.0,129.5,81.0,81.0,81.0,0.18518518518518517,0.38271604938271603,0.4691358024691358,0.22058823529411764,0.45588235294117646,0.5588235294117647,81.0,0.8300791946308723
0.22,90,0.20134228187919462,0.4161073825503355,0.5100671140939597,40.0,109.0,129.5,81.0,81.0,81.0,0.18518518518518517,0.38271604938271603,0.4691358024691358,0.22058823529411764,0.45588235294117646,0.5588235294117647,81.0,0.8300791946308723
0.22,100,0.20134228187919462,0.4161073825503355,0.5100671140939597,40.0,109.0,129.5,81.0,81.0,81.0,0.18518518518518517,0.38271604938271603,0.4691358024691358,0.22058823529411764,0.45588235294117646,0.5588235294117647,81.0,0.8300791946308723
0.22,110,0.18978102189781024,0.3795620437956205,0.4963503649635037,40.0,104.0,144.5,69.0,69.0,69.0,0.18840579710144928,0.37681159420289856,0.4927536231884058,0.19117647058823528,0.38235294117647056,0.5,69.0,0.7801562043795621
0.22,120,0.18978102189781024,0.3795620437956205,0.4963503649635037,40.0,104.0,144.5,69.0,69.0,69.0,0.18840579710144928,0.37681159420289856,0.4927536231884058,0.19117647058823528,0.38235294117647056,0.5,69.0,0.7801562043795621
0.22,130,0.18978102189781024,0.3795620437956205,0.4963503649635037,40.0,104.0,144.5,69.0,69.0,69.0,0.18840579710144928,0.37681159420289856,0.4927536231884058,0.19117647058823528,0.38235294117647056,0.5,69.0,0.7801562043795621
0.22,140,0.18978102189781024,0.3795620437956205,0.4963503649635037,40.0,104.0,144.5,69.0,69.0,69.0,0.18840579710144928,0.37681159420289856,0.4927536231884058,0.19117647058823528,0.38235294117647056,0.5,69.0,0.7801562043795621
0.22,150,0.18978102189781024,0.3795620437956205,0.4963503649635037,40.0,104.0,144.5,69.0,69.0,69.0,0.18840579710144928,0.37681159420289856,0.4927536231884058,0.19117647058823528,0.38235294117647056,0.5,69.0,0.7801562043795621
0.22,200,0.1732283464566929,0.36220472440944884,0.47244094488188976,40.0,109.0,150.5,59.0,59.0,59.0,0.1864406779661017,0.3898305084745763,0.5084745762711864,0.16176470588235295,0.3382352941176471,0.4411764705882353,59.0,0.735075590551181
0.22,300,0.1487603305785124,0.34710743801652894,0.44628099173553715,50.0,119.0,151.0,53.0,53.0,53.0,0.16981132075471697,0.39622641509433965,0.5094339622641509,0.1323529411764706,0.3088235294117647,0.39705882352941174,53.0,0.6883603305785123
0.22,400,0.13675213675213674,0.3076923076923077,0.4102564102564103,46.0,124.0,155.5,49.0,49.0,49.0,0.16326530612244897,0.3673469387755102,0.4897959183673469,0.11764705882352941,0.2647058823529412,0.35294117647058826,49.0,0.6181418803418803
0.22,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.23,0,0.20408163265306123,0.43537414965986393,0.5306122448979592,40.0,109.5,139.0,79.0,79.0,79.0,0.189873417721519,0.4050632911392405,0.4936708860759494,0.22058823529411764,0.47058823529411764,0.5735294117647058,79.0,0.8614068027210884
0.23,80,0.20689655172413793,0.4413793103448276,0.5379310344827586,40.0,109.5,139.0,77.0,77.0,77.0,0.19480519480519481,0.4155844155844156,0.5064935064935064,0.22058823529411764,0.47058823529411764,0.5735294117647058,77.0,0.8740551724137929
0.23,90,0.20689655172413793,0.4413793103448276,0.5379310344827586,40.0,109.5,139.0,77.0,77.0,77.0,0.19480519480519481,0.4155844155844156,0.5064935064935064,0.22058823529411764,0.47058823529411764,0.5735294117647058,77.0,0.8740551724137929
0.23,100,0.20689655172413793,0.4413793103448276,0.5379310344827586,40.0,109.5,139.0,77.0,77.0,77.0,0.19480519480519481,0.4155844155844156,0.5064935064935064,0.22058823529411764,0.47058823529411764,0.5735294117647058,77.0,0.8740551724137929
0.23,110,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,120,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,130,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,140,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,150,0.1925925925925926,0.4,0.5185185185185184,40.0,109.0,150.0,67.0,67.0,67.0,0.19402985074626866,0.40298507462686567,0.5223880597014925,0.19117647058823528,0.39705882352941174,0.5147058823529411,67.0,0.8155555555555554
0.23,200,0.1732283464566929,0.36220472440944884,0.47244094488188976,40.0,109.0,150.5,59.0,59.0,59.0,0.1864406779661017,0.3898305084745763,0.5084745762711864,0.16176470588235295,0.3382352941176471,0.4411764705882353,59.0,0.735075590551181
0.23,300,0.1487603305785124,0.34710743801652894,0.44628099173553715,50.0,119.0,151.0,53.0,53.0,53.0,0.16981132075471697,0.39622641509433965,0.5094339622641509,0.1323529411764706,0.3088235294117647,0.39705882352941174,53.0,0.6883603305785123
0.23,400,0.13675213675213674,0.3076923076923077,0.4102564102564103,46.0,124.0,155.5,49.0,49.0,49.0,0.16326530612244897,0.3673469387755102,0.4897959183673469,0.11764705882352941,0.2647058823529412,0.35294117647058826,49.0,0.6181418803418803
0.23,500,0.12844036697247704,0.2568807339449541,0.36697247706422015,41.0,103.0,160.5,41.0,41.0,41.0,0.17073170731707318,0.34146341463414637,0.4878048780487805,0.10294117647058823,0.20588235294117646,0.29411764705882354,41.0,0.5339651376146788
0.24,0,0.22695035460992907,0.46808510638297873,0.5673758865248226,40.0,109.0,129.5,73.0,73.0,73.0,0.2191780821917808,0.4520547945205479,0.547945205479452,0.23529411764705882,0.4852941176470588,0.5882352941176471,73.0,0.9340156028368793
0.24,80,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,90,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,100,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.24,110,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,120,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,130,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,140,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,150,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
0.24,200,0.19834710743801656,0.3966942148760331,0.512396694214876,40.5,103.0,150.0,53.0,53.0,53.0,0.22641509433962265,0.4528301886792453,0.5849056603773585,0.17647058823529413,0.35294117647058826,0.45588235294117646,53.0,0.8094214876033058
0.24,300,0.15652173913043477,0.3652173913043478,0.46956521739130436,50.0,119.0,151.0,47.0,47.0,47.0,0.19148936170212766,0.44680851063829785,0.574468085106383,0.1323529411764706,0.3088235294117647,0.39705882352941174,47.0,0.7274260869565217
0.24,400,0.14414414414414414,0.32432432432432434,0.43243243243243246,46.0,124.0,155.5,43.0,43.0,43.0,0.18604651162790697,0.4186046511627907,0.5581395348837209,0.11764705882352941,0.2647058823529412,0.35294117647058826,43.0,0.6549171171171171
0.24,500,0.1333333333333333,0.2666666666666666,0.38095238095238093,41.0,103.0,160.5,37.0,37.0,37.0,0.1891891891891892,0.3783783783783784,0.5405405405405406,0.10294117647058823,0.20588235294117646,0.29411764705882354,37.0,0.5567523809523809
0.25,0,0.22695035460992907,0.46808510638297873,0.5673758865248226,40.0,109.0,129.5,73.0,73.0,73.0,0.2191780821917808,0.4520547945205479,0.547945205479452,0.23529411764705882,0.4852941176470588,0.5882352941176471,73.0,0.9340156028368793
0.25,80,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,90,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,100,0.2302158273381295,0.4748201438848921,0.5755395683453237,40.0,109.0,129.5,71.0,71.0,71.0,0.22535211267605634,0.4647887323943662,0.5633802816901409,0.23529411764705882,0.4852941176470588,0.5882352941176471,71.0,0.9482
0.25,110,0.2170542635658915,0.434108527131783,0.5581395348837209,40.0,104.0,144.5,61.0,61.0,61.0,0.22950819672131148,0.45901639344262296,0.5901639344262295,0.20588235294117646,0.4117647058823529,0.5294117647058824,61.0,0.8910372093023256
